date,unix,average,open,high,low,close
09-20-2019,1568952000.0,142.25,141.61,143.03,141.46,142.95
09-19-2019,1568865600.0,141.42,141.57,141.74,141.09,141.28
09-18-2019,1568779200.0,141.17,141.93,142.53,139.81,140.71
09-17-2019,1568692800.0,141.67,141.82,142.11,141.22,141.6
09-16-2019,1568606400.0,141.54,141.6,142.05,141.02,141.32
09-13-2019,1568347200.0,141.03,141.73,141.99,140.06,140.15
09-12-2019,1568260800.0,142.11,142.68,143.1,141.11,141.32
09-11-2019,1568174400.0,140.77,140.34,141.26,140.28,141.03
09-10-2019,1568088000.0,140.84,141.23,141.53,140.16,140.18
09-09-2019,1568001600.0,141.82,142.37,142.46,141.18,141.39
09-06-2019,1567742400.0,142.96,143.64,144.06,141.86,141.92
09-05-2019,1567656000.0,143.5,144.98,145.01,142.0,143.14
09-04-2019,1567569600.0,146.16,145.54,146.82,145.5,146.66
09-03-2019,1567483200.0,145.44,144.96,146.13,144.74,145.75
08-30-2019,1567137600.0,143.95,143.84,144.88,143.02,143.75
08-29-2019,1567051200.0,144.38,145.4,145.49,143.28,144.12
08-28-2019,1566964800.0,145.16,145.39,145.68,144.64,145.16
08-27-2019,1566878400.0,144.98,144.3,145.68,144.27,145.57
08-26-2019,1566792000.0,144.44,144.35,144.97,143.91,144.19
08-23-2019,1566532800.0,142.99,141.84,144.33,141.64,144.17
08-22-2019,1566446400.0,141.53,141.39,141.9,141.17,141.4
08-21-2019,1566360000.0,141.81,141.62,142.17,141.46,141.76
08-20-2019,1566273600.0,141.93,141.77,142.26,141.6,142.21
08-19-2019,1566187200.0,141.32,141.33,141.79,140.85,141.11
08-16-2019,1565928000.0,142.47,142.75,143.13,141.8093,142.78
08-15-2019,1565841600.0,143.31,142.96,144.02,142.61,143.7
08-14-2019,1565755200.0,142.9,142.9,143.7535,142.05,142.75
08-13-2019,1565668800.0,141.32,143.1786,143.285,139.35,141.78
08-12-2019,1565582400.0,142.51,141.67,143.38,141.64,142.63
08-09-2019,1565323200.0,141.5,141.28,142.03,140.96,141.26
08-08-2019,1565236800.0,141.54,140.9,142.37,140.71,141.73
08-07-2019,1565150400.0,141.68,141.28,142.47,140.88,141.02
08-06-2019,1565064000.0,138.52,138.33,139.03,138.01,138.91
08-05-2019,1564977600.0,137.84,137.93,138.64,137.0482,137.79
08-02-2019,1564718400.0,135.99,135.39,136.6,135.37,135.89
08-01-2019,1564632000.0,134.37,132.4214,136.43,132.31,136.41
07-31-2019,1564545600.0,134.22,135.03,135.42,133.0287,133.21
07-30-2019,1564459200.0,134.8,134.76,135.18,134.41,134.98
07-29-2019,1564372800.0,134.09,134.06,134.73,133.4407,134.53
07-26-2019,1564113600.0,133.94,134.24,134.29,133.59,133.64
07-25-2019,1564027200.0,133.69,134.2327,134.28,133.09,133.42
07-24-2019,1563940800.0,134.41,134.59,134.84,133.98,134.37
07-23-2019,1563854400.0,134.25,134.43,134.95,133.56,133.69
07-22-2019,1563768000.0,134.57,134.56,134.82,134.32,134.45
07-19-2019,1563508800.0,135.0,135.45,136.03,133.97,134.47
07-18-2019,1563422400.0,135.12,133.83,136.63,133.61,136.48
07-17-2019,1563336000.0,133.75,133.0,134.6,132.89,134.58
07-16-2019,1563249600.0,132.72,133.18,133.3,132.13,132.4
07-15-2019,1563163200.0,133.17,133.1743,133.53,132.81,133.53
07-12-2019,1562904000.0,133.11,132.89,133.69,132.53,133.53
07-11-2019,1562817600.0,133.06,133.58,133.7,132.41,132.7
07-10-2019,1562731200.0,133.11,132.9352,133.87,132.35,133.83
07-09-2019,1562644800.0,131.63,131.43,132.1,131.16,131.75
07-08-2019,1562558400.0,131.81,132.18,132.34,131.2851,131.29
07-05-2019,1562299200.0,131.56,131.46,132.32,130.81,132.14
07-03-2019,1562126400.0,133.67,133.61,134.1044,133.23,133.63
07-02-2019,1562040000.0,132.39,131.2632,133.63,131.16,133.41
07-01-2019,1561953600.0,131.15,131.56,131.7552,130.55,130.62
06-28-2019,1561694400.0,132.98,133.05,133.3463,132.61,133.2
06-27-2019,1561608000.0,132.62,132.38,132.97,132.26,132.84
06-26-2019,1561521600.0,132.98,132.99,133.55,132.41,132.97
06-25-2019,1561435200.0,134.38,134.9,135.55,133.21,134.2
06-24-2019,1561348800.0,133.31,132.77,134.035,132.58,133.94
06-21-2019,1561089600.0,131.62,131.77,132.17,131.07,131.98
06-20-2019,1561003200.0,130.84,130.41,131.49,130.185,131.11
06-19-2019,1560916800.0,127.34,126.77,127.99,126.7,127.89
06-18-2019,1560830400.0,127.07,127.58,127.75,126.39,127.12
06-17-2019,1560744000.0,126.47,126.7,126.77,126.17,126.48
06-14-2019,1560484800.0,126.94,127.21,127.63,126.26,126.56
06-13-2019,1560398400.0,126.36,126.03,126.77,125.96,126.6
06-12-2019,1560312000.0,125.88,125.6,126.2,125.56,125.83
06-11-2019,1560225600.0,125.14,124.9417,125.4,124.884,125.18
06-10-2019,1560139200.0,125.3,125.46,125.525,125.065,125.33
06-07-2019,1559880000.0,126.79,126.79,127.2538,126.32,126.59
06-06-2019,1559793600.0,126.12,125.93,126.45,125.8,125.88
06-05-2019,1559707200.0,125.81,126.18,126.37,125.24,125.47
06-04-2019,1559620800.0,125.02,124.88,125.42,124.61,125.15
06-03-2019,1559534400.0,124.62,124.09,125.34,123.9,125.11
05-31-2019,1559275200.0,122.86,122.55,123.4,122.315,123.33
05-30-2019,1559188800.0,121.25,120.96,121.69,120.8,121.69
05-29-2019,1559102400.0,121.0,121.11,121.2603,120.745,120.87
05-28-2019,1559016000.0,120.65,120.8,120.84,120.46,120.83
05-24-2019,1558670400.0,121.1,121.13,121.31,120.89,121.3
05-23-2019,1558584000.0,121.14,120.82,121.52,120.77,121.17
05-22-2019,1558497600.0,120.34,120.35,120.5,120.19,120.24
05-21-2019,1558411200.0,120.09,120.08,120.36,119.83,120.36
05-20-2019,1558324800.0,120.58,120.51,120.74,120.42,120.64
05-17-2019,1558065600.0,120.69,121.03,121.06,120.33,120.65
05-16-2019,1557979200.0,121.63,122.03,122.073,121.19,121.51
05-15-2019,1557892800.0,122.49,122.71,122.765,122.22,122.39
05-14-2019,1557806400.0,122.39,122.6,122.66,122.12,122.46
05-13-2019,1557720000.0,122.59,122.63,122.85,122.325,122.67
05-10-2019,1557460800.0,121.52,121.41,121.73,121.3,121.43
05-09-2019,1557374400.0,121.24,120.96,121.62,120.86,121.2
05-08-2019,1557288000.0,121.15,121.54,121.5351,120.77,120.91
05-07-2019,1557201600.0,121.16,121.02,121.42,120.9035,121.21
05-06-2019,1557115200.0,120.83,120.61,121.12,120.54,120.81
05-03-2019,1556856000.0,120.78,120.56,121.08,120.475,120.65
05-02-2019,1556769600.0,119.83,119.69,120.11,119.54,119.94
05-01-2019,1556683200.0,120.87,121.03,121.55,120.1858,120.4
04-30-2019,1556596800.0,121.1,120.89,121.36,120.85,121.2
04-29-2019,1556510400.0,120.79,120.88,120.91,120.665,120.83
04-26-2019,1556251200.0,121.44,121.26,121.6676,121.22,121.37
