date,unix,average,open,high,low,close
09-20-2019,1568952000.0,3000.53,3008.4199,3016.3701,2984.6799,2992.0701
09-19-2019,1568865600.0,3012.57,3010.3601,3021.99,3003.1599,3006.79
09-18-2019,1568779200.0,2993.2,3001.5,3007.8301,2978.5701,3006.73
09-17-2019,1568692800.0,2999.97,2995.6699,3006.21,2993.73,3005.7
09-16-2019,1568606400.0,2996.43,2996.4099,3002.1899,2990.6699,2997.96
09-13-2019,1568347200.0,3010.11,3012.21,3017.3301,3002.8999,3007.3899
09-12-2019,1568260800.0,3010.83,3009.0801,3020.74,3000.9199,3009.5701
09-11-2019,1568174400.0,2988.12,2981.4099,3000.9299,2975.3101,3000.9299
09-10-2019,1568088000.0,2968.2,2971.01,2979.3899,2957.01,2979.3899
09-09-2019,1568001600.0,2979.41,2988.4299,2989.4299,2969.3899,2978.4299
09-06-2019,1567742400.0,2978.77,2980.3301,2985.03,2972.51,2978.71
09-05-2019,1567656000.0,2973.23,2960.6001,2985.8601,2960.6001,2976.0
09-04-2019,1567569600.0,2930.35,2924.6699,2938.8401,2921.8601,2937.78
09-03-2019,1567483200.0,2903.12,2909.01,2914.3899,2891.8501,2906.27
08-30-2019,1567137600.0,2926.88,2937.0901,2940.4299,2913.3201,2926.46
08-29-2019,1567051200.0,2918.08,2910.3701,2930.5,2905.6699,2924.5801
08-28-2019,1566964800.0,2871.54,2861.28,2890.03,2853.05,2887.9399
08-27-2019,1566878400.0,2879.69,2893.1399,2898.79,2860.5901,2869.1599
08-26-2019,1566792000.0,2867.64,2866.7,2879.27,2856.0,2878.3799
08-23-2019,1566532800.0,2880.99,2911.0701,2927.01,2834.97,2847.1101
08-22-2019,1566446400.0,2921.8,2930.9399,2939.0801,2904.51,2922.95
08-21-2019,1566360000.0,2923.32,2922.04,2928.73,2917.9099,2924.4299
08-20-2019,1566273600.0,2911.61,2919.01,2923.6299,2899.6001,2900.51
08-19-2019,1566187200.0,2922.24,2913.48,2931.0,2913.48,2923.6499
08-16-2019,1565928000.0,2879.18,2864.74,2893.6299,2864.74,2888.6799
08-15-2019,1565841600.0,2841.09,2846.2,2856.6699,2825.51,2847.6001
08-14-2019,1565755200.0,2866.89,2894.1499,2894.1499,2839.6399,2840.6001
08-13-2019,1565668800.0,2910.18,2880.72,2943.3101,2877.05,2926.3201
08-12-2019,1565582400.0,2890.36,2907.0701,2907.5801,2873.1399,2882.7
08-09-2019,1565323200.0,2917.95,2930.51,2935.75,2900.1499,2918.6499
08-08-2019,1565236800.0,2916.59,2896.21,2938.72,2894.47,2938.0901
08-07-2019,1565150400.0,2858.94,2858.6499,2892.1699,2825.71,2883.98
08-06-2019,1565064000.0,2865.91,2861.1799,2884.3999,2847.4199,2881.77
08-05-2019,1564977600.0,2860.1,2898.0701,2898.0701,2822.1201,2844.74
08-02-2019,1564718400.0,2929.81,2943.8999,2945.5,2914.1101,2932.05
08-01-2019,1564632000.0,2979.41,2980.3201,3013.5901,2945.23,2953.5601
07-31-2019,1564545600.0,2987.74,3016.22,3017.3999,2958.0801,2980.3799
07-30-2019,1564459200.0,3009.06,3007.6599,3017.1899,3000.9399,3013.1799
07-29-2019,1564372800.0,3019.96,3024.47,3025.6101,3014.3,3020.97
07-26-2019,1564113600.0,3020.29,3013.25,3027.98,3012.5901,3025.8601
07-25-2019,1564027200.0,3006.78,3016.26,3016.3101,2997.24,3003.6699
07-24-2019,1563940800.0,3008.21,2998.77,3019.5901,2996.8201,3019.5601
07-23-2019,1563854400.0,2997.23,2994.74,3005.8999,2988.5601,3005.47
07-22-2019,1563768000.0,2983.68,2981.9299,2990.71,2976.6499,2985.03
07-19-2019,1563508800.0,2990.94,3004.26,3006.02,2975.8601,2976.6101
07-18-2019,1563422400.0,2985.69,2978.8701,2998.28,2973.0901,2995.1101
07-17-2019,1563336000.0,2994.76,3005.1001,3005.26,2984.25,2984.4199
07-16-2019,1563249600.0,3008.08,3012.1299,3015.02,3001.1499,3004.04
07-15-2019,1563163200.0,3013.28,3017.8,3017.8,3008.77,3014.3
07-12-2019,1562904000.0,3007.89,3003.3601,3013.9199,3001.8701,3013.77
07-11-2019,1562817600.0,2995.57,2999.6201,3002.3301,2988.8,2999.9099
07-10-2019,1562731200.0,2993.8,2989.3,3002.98,2984.6201,2993.0701
07-09-2019,1562644800.0,2972.67,2965.52,2981.8999,2963.4399,2979.6299
07-08-2019,1562558400.0,2975.43,2979.77,2980.76,2970.0901,2975.95
07-05-2019,1562299200.0,2981.0,2984.25,2994.03,2967.97,2990.4099
