Country,Latitude,Longitude
Afghanistan,33.83523073,66.00473366
Aland Islands,60.21488688,19.95328768
Albania,41.14244989,20.04983396
Algeria,28.15893849,2.61732301
American Samoa,-14.30445997,-170.7180258
Andorra,42.54229102,1.56054378
Angola,-12.29336054,17.53736768
Anguilla,18.2239595,-63.06498927
Antarctica,-80.50857913,19.92108951
Antigua and Barbuda,17.2774996,-61.79469343
Argentina,-35.3813488,-65.17980692
Armenia,40.28952569,44.92993276
Aruba,12.52088038,-69.98267711
Ashmore and Cartier Islands,-12.42993164,123.5838379
Australia,-25.73288704,134.4910001
Austria,47.58549439,14.1264761
Azerbaijan,40.28827235,47.54599879
Bahrain,26.04205135,50.54196932
Bangladesh,23.86731158,90.23812743
Barbados,13.18145428,-59.559797
Belarus,53.53131377,28.03209307
Belgium,50.63981576,4.64065114
Belize,17.20027509,-88.71010486
Benin,9.6417597,2.32785254
Bermuda,32.31367802,-64.7545589
Bhutan,27.41106589,90.40188155
Bolivia,-16.70814787,-64.68538645
Bosnia and Herzegovina,44.17450125,17.76876733
Botswana,-22.18403213,23.79853368
Brazil,-10.78777702,-53.09783113
British Indian Ocean Territory,-7.33059751,72.44541229
British Virgin Islands,18.52585755,-64.47146992
Brunei,4.51968958,114.7220304
Bulgaria,42.76890318,25.21552909
Burkina Faso,12.26953846,-1.75456601
Burundi,-3.35939666,29.87512156
Cambodia,12.72004786,104.9069433
Cameroon,5.69109849,12.73964156
Canada,61.36206324,-98.30777028
Cape Verde,15.95523324,-23.9598882
Caribbean Netherlands,12.202554,-68.261261
Cayman Islands,19.42896497,-80.91213321
Central African Republic,6.56823297,20.46826831
Chad,15.33333758,18.64492513
Chile,-37.73070989,-71.38256213
China,36.56176546,103.8190735
Colombia,3.91383431,-73.08114582
Comoros,-11.87783444,43.68253968
Cook Islands,-21.21927288,-159.7872422
Costa Rica,9.97634464,-84.19208768
Croatia,45.08047631,16.40412899
Cuba,21.62289528,-79.01605384
Curacao,12.19551675,-68.97119369
Cyprus,34.91667211,33.0060022
Czech Republic,49.73341233,15.31240163
Democratic Republic of the Congo,-2.87746289,23.64396107
Denmark,55.98125296,10.02800992
Djibouti,11.74871806,42.5606754
Dominica,15.4394702,-61.357726
Dominican Republic,18.89433082,-70.50568896
