date,sentiment
Tue Sep 17 01:36:31 +0000 2019,positive
,
Tue Sep 17 01:36:33 +0000 2019,positive
,
Tue Sep 17 01:36:34 +0000 2019,neutral
,
Tue Sep 17 01:36:41 +0000 2019,positive
,
Tue Sep 17 01:36:43 +0000 2019,neutral
,
Tue Sep 17 01:36:48 +0000 2019,neutral
,
Tue Sep 17 01:36:50 +0000 2019,neutral
,
Tue Sep 17 01:36:50 +0000 2019,negative
,
Tue Sep 17 01:36:52 +0000 2019,neutral
,
Tue Sep 17 01:36:52 +0000 2019,neutral
,
Tue Sep 17 01:36:54 +0000 2019,neutral
,
Tue Sep 17 01:36:56 +0000 2019,neutral
,
Tue Sep 17 01:36:58 +0000 2019,neutral
,
Tue Sep 17 01:37:02 +0000 2019,neutral
,
Tue Sep 17 01:37:03 +0000 2019,positive
,
Tue Sep 17 01:37:03 +0000 2019,neutral
,
Tue Sep 17 01:37:06 +0000 2019,neutral
,
Tue Sep 17 01:37:07 +0000 2019,neutral
,
Tue Sep 17 01:37:10 +0000 2019,negative
,
Tue Sep 17 01:37:11 +0000 2019,neutral
,
Tue Sep 17 01:37:13 +0000 2019,neutral
,
Tue Sep 17 01:37:14 +0000 2019,negative
,
Tue Sep 17 01:37:18 +0000 2019,positive
,
Tue Sep 17 01:37:18 +0000 2019,neutral
,
Tue Sep 17 01:37:19 +0000 2019,positive
,
Tue Sep 17 01:37:23 +0000 2019,neutral
,
Tue Sep 17 01:37:23 +0000 2019,neutral
,
Tue Sep 17 01:37:24 +0000 2019,positive
,
Tue Sep 17 01:37:24 +0000 2019,negative
,
Tue Sep 17 01:37:24 +0000 2019,neutral
,
Tue Sep 17 01:37:24 +0000 2019,positive
,
Tue Sep 17 01:37:25 +0000 2019,positive
,
Tue Sep 17 01:37:26 +0000 2019,neutral
,
Tue Sep 17 01:37:28 +0000 2019,positive
,
Tue Sep 17 01:37:29 +0000 2019,neutral
,
Tue Sep 17 01:37:32 +0000 2019,positive
,
Tue Sep 17 01:37:32 +0000 2019,neutral
,
Tue Sep 17 01:37:32 +0000 2019,neutral
,
Tue Sep 17 01:37:37 +0000 2019,neutral
,
Tue Sep 17 01:37:37 +0000 2019,positive
,
Tue Sep 17 01:37:38 +0000 2019,neutral
,
Tue Sep 17 01:37:39 +0000 2019,neutral
,
Tue Sep 17 01:37:40 +0000 2019,neutral
,
Tue Sep 17 01:37:40 +0000 2019,neutral
,
Tue Sep 17 01:37:43 +0000 2019,positive
,
Tue Sep 17 01:37:43 +0000 2019,neutral
,
Tue Sep 17 01:37:46 +0000 2019,neutral
,
Tue Sep 17 01:37:54 +0000 2019,neutral
,
Tue Sep 17 01:37:55 +0000 2019,negative
,
Tue Sep 17 01:37:58 +0000 2019,neutral
,
Tue Sep 17 01:38:00 +0000 2019,positive
,
Tue Sep 17 01:38:02 +0000 2019,negative
,
Tue Sep 17 01:38:03 +0000 2019,neutral
,
Tue Sep 17 01:38:05 +0000 2019,neutral
,
Tue Sep 17 01:38:07 +0000 2019,neutral
,
Tue Sep 17 01:38:08 +0000 2019,positive
,
Tue Sep 17 01:38:09 +0000 2019,neutral
,
Tue Sep 17 01:38:12 +0000 2019,positive
,
Tue Sep 17 01:38:18 +0000 2019,neutral
,
Tue Sep 17 01:38:20 +0000 2019,neutral
,
Tue Sep 17 01:38:20 +0000 2019,neutral
,
Tue Sep 17 01:38:24 +0000 2019,positive
,
Tue Sep 17 01:38:26 +0000 2019,negative
,
Tue Sep 17 01:38:27 +0000 2019,neutral
,
Tue Sep 17 01:38:32 +0000 2019,neutral
,
Tue Sep 17 01:38:35 +0000 2019,negative
,
Tue Sep 17 01:38:37 +0000 2019,neutral
,
Tue Sep 17 01:38:42 +0000 2019,neutral
,
Tue Sep 17 01:38:46 +0000 2019,neutral
,
Tue Sep 17 01:38:46 +0000 2019,neutral
,
Tue Sep 17 01:38:48 +0000 2019,positive
,
Tue Sep 17 01:38:52 +0000 2019,positive
,
Tue Sep 17 01:38:53 +0000 2019,negative
,
Tue Sep 17 01:38:54 +0000 2019,positive
,
Tue Sep 17 01:38:57 +0000 2019,positive
,
Tue Sep 17 01:38:57 +0000 2019,negative
,
Tue Sep 17 01:38:58 +0000 2019,negative
,
Tue Sep 17 01:38:58 +0000 2019,positive
,
Tue Sep 17 01:38:59 +0000 2019,neutral
,
Tue Sep 17 01:38:59 +0000 2019,negative
,
Tue Sep 17 01:39:00 +0000 2019,neutral
,
Tue Sep 17 01:39:03 +0000 2019,positive
,
Tue Sep 17 01:39:04 +0000 2019,negative
,
Tue Sep 17 01:39:06 +0000 2019,positive
,
Tue Sep 17 01:39:05 +0000 2019,neutral
,
Tue Sep 17 01:39:08 +0000 2019,neutral
,
Tue Sep 17 01:39:08 +0000 2019,positive
,
Tue Sep 17 01:39:08 +0000 2019,positive
,
Tue Sep 17 01:39:15 +0000 2019,positive
,
